Algoritmo;Threads;Input_Expressao;Repeticao;Tempo;Expressao_Encontrada;Literais;Clock_Time;Service_Time;Wait_Time
Paralelo;2;((z * x * w) + (y * x * w) + (!z * !y * !x * w));6;0,031540;W*(Z+!X+Y)*(X+(!Z*!Y));7;0,067677;0,017676;0,029117
Paralelo;2;((z * x * w) + (y * x * w) + (!z * !y * !x * w));7;0,031034;W*(Z+!X+Y)*(X+(!Z*!Y));7;0,066740;0,017426;0,028469
Paralelo;2;((z * x * w) + (y * x * w) + (!z * !y * !x * w));8;0,033677;W*(Z+!X+Y)*(X+(!Z*!Y));7;0,072174;0,019290;0,031033
Paralelo;2;((z * x * w) + (y * x * w) + (!z * !y * !x * w));9;0,031546;W*(Z+!X+Y)*(X+(!Z*!Y));7;0,067646;0,017776;0,029159
Paralelo;2;((z * x * w) + (y * x * w) + (!z * !y * !x * w));10;0,031804;W*(Z+!X+Y)*(X+(!Z*!Y));7;0,067864;0,017917;0,029088
Paralelo;2;((z * x * w) + (y * x * w) + (!z * !y * !x * w));11;0,034309;W*(Z+!X+Y)*(X+(!Z*!Y));7;0,073415;0,020342;0,030927
Paralelo;2;((z * x * w) + (y * x * w) + (!z * !y * !x * w));12;0,031217;W*(Z+!X+Y)*(X+(!Z*!Y));7;0,067287;0,017793;0,028658
Paralelo;2;((z * x * w) + (y * x * w) + (!z * !y * !x * w));13;0,032725;W*(Z+!X+Y)*(X+(!Z*!Y));7;0,070127;0,018788;0,030459
Paralelo;2;((z * x * w) + (y * x * w) + (!z * !y * !x * w));14;0,032079;W*(Z+!X+Y)*(X+(!Z*!Y));7;0,069381;0,017972;0,029752
Paralelo;2;((z * x * w) + (y * x * w) + (!z * !y * !x * w));15;0,030598;W*(Z+!X+Y)*(X+(!Z*!Y));7;0,065604;0,017463;0,028108
Paralelo;2;((z * x * w) + (y * x * w) + (!z * !y * !x * w));16;0,030540;W*(Z+!X+Y)*(X+(!Z*!Y));7;0,065319;0,017298;0,027901
Paralelo;2;((z * x * w) + (y * x * w) + (!z * !y * !x * w));17;0,030878;W*(Z+!X+Y)*(X+(!Z*!Y));7;0,065446;0,017285;0,028166
Paralelo;2;((z * x * w) + (y * x * w) + (!z * !y * !x * w));18;0,031150;W*(Z+!X+Y)*(X+(!Z*!Y));7;0,066203;0,017579;0,028424
Paralelo;2;((z * x * w) + (y * x * w) + (!z * !y * !x * w));19;0,031165;W*(Z+!X+Y)*(X+(!Z*!Y));7;0,066648;0,017438;0,028863
Paralelo;2;((z * x * w) + (y * x * w) + (!z * !y * !x * w));20;0,030900;W*(Z+!X+Y)*(X+(!Z*!Y));7;0,066047;0,017578;0,027840
Paralelo;4;((z * x * w) + (y * x * w) + (!z * !y * !x * w));1;0,037665;W*(Z+!X+Y)*(X+(!Z*!Y));7;0,154988;0,021745;0,098567
Paralelo;4;((z * x * w) + (y * x * w) + (!z * !y * !x * w));2;0,038777;W*(Z+!X+Y)*(X+(!Z*!Y));7;0,158680;0,022169;0,103423
Paralelo;4;((z * x * w) + (y * x * w) + (!z * !y * !x * w));3;0,040690;W*(Z+!X+Y)*(X+(!Z*!Y));7;0,164629;0,023796;0,107806
Paralelo;4;((z * x * w) + (y * x * w) + (!z * !y * !x * w));4;0,039246;W*(Z+!X+Y)*(X+(!Z*!Y));7;0,160538;0,022716;0,103824
Paralelo;4;((z * x * w) + (y * x * w) + (!z * !y * !x * w));5;0,040205;W*(Z+!X+Y)*(X+(!Z*!Y));7;0,167818;0,024001;0,106070
Paralelo;4;((z * x * w) + (y * x * w) + (!z * !y * !x * w));6;0,041936;W*(Z+!X+Y)*(X+(!Z*!Y));7;0,173292;0,024950;0,111039
Paralelo;4;((z * x * w) + (y * x * w) + (!z * !y * !x * w));7;0,038389;W*(Z+!X+Y)*(X+(!Z*!Y));7;0,160014;0,022304;0,102222
Paralelo;4;((z * x * w) + (y * x * w) + (!z * !y * !x * w));8;0,039281;W*(Z+!X+Y)*(X+(!Z*!Y));7;0,163207;0,022369;0,104476
Paralelo;4;((z * x * w) + (y * x * w) + (!z * !y * !x * w));9;0,038739;W*(Z+!X+Y)*(X+(!Z*!Y));7;0,159223;0,022714;0,102226
Paralelo;4;((z * x * w) + (y * x * w) + (!z * !y * !x * w));10;0,038423;W*(Z+!X+Y)*(X+(!Z*!Y));7;0,159335;0,021591;0,102867
Paralelo;4;((z * x * w) + (y * x * w) + (!z * !y * !x * w));11;0,038187;W*(Z+!X+Y)*(X+(!Z*!Y));7;0,161475;0,021422;0,101005
Paralelo;4;((z * x * w) + (y * x * w) + (!z * !y * !x * w));12;0,038240;W*(Z+!X+Y)*(X+(!Z*!Y));7;0,157780;0,021768;0,101607
Paralelo;4;((z * x * w) + (y * x * w) + (!z * !y * !x * w));13;0,039400;W*(Z+!X+Y)*(X+(!Z*!Y));7;0,161348;0,022324;0,104031
Paralelo;4;((z * x * w) + (y * x * w) + (!z * !y * !x * w));14;0,039253;W*(Z+!X+Y)*(X+(!Z*!Y));7;0,164007;0,022561;0,104201
Paralelo;4;((z * x * w) + (y * x * w) + (!z * !y * !x * w));15;0,037098;W*(Z+!X+Y)*(X+(!Z*!Y));7;0,157343;0,021100;0,096153
Paralelo;4;((z * x * w) + (y * x * w) + (!z * !y * !x * w));16;0,053920;W*(Z+!X+Y)*(X+(!Z*!Y));7;0,223092;0,021479;0,089811
Paralelo;4;((z * x * w) + (y * x * w) + (!z * !y * !x * w));17;0,039702;W*(Z+!X+Y)*(X+(!Z*!Y));7;0,165011;0,022878;0,104715
Paralelo;4;((z * x * w) + (y * x * w) + (!z * !y * !x * w));18;0,037563;W*(Z+!X+Y)*(X+(!Z*!Y));7;0,154183;0,021497;0,100654
